########################## FILTER u ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.061	0.3209	0.3913	0.0037003	23.5339	0.0836
S2	1.061	0.3653	0.3913	0.0024897	23.5281	0.0436
S3	1.061	0.3571	0.3913	0.0014016	23.5167	0.0826
S4	1.061	0.3652	0.3913	0.0035694	23.5348	0.2402
S5	1.061	0.4108	0.3913	0.0025495	23.5471	0.1331
S6	1.061	0.4181	0.3913	0.0012598	23.5116	0.1751
S7	1.061	0.5411	0.3913	999999999	23.5267	0.1411
S8	1.061	0.3735	0.3913	0.0067279	23.4885	0.0963
S9	1.061	0.3832	0.3913	0.0030918	23.5456	0.2155
S10	1.061	0.3805	0.3913	0.0035672	23.4931	0.8658
S11	1.061	0.3869	0.3913	0.0012614	23.5584	0.1612
S12	1.061	0.4105	0.3913	0.0021659	23.4902	0.1596
S13	1.061	0.4015	0.3913	0.0015096	23.4526	0.1244
S14	1.061	0.3811	0.3913	0.0014948	23.5374	0.1031
S15	1.061	0.3826	0.3913	0.0018643	23.5787	0.1077
S16	1.061	0.3930	0.3913	0.0017091	23.5724	0.1324
S17	1.061	0.3929	0.3913	0.0034350	23.5126	0.1141
S18	1.061	0.4324	0.3913	0.0034268	23.4262	0.1399
S19	1.061	0.4442	0.3913	0.0014766	23.4688	0.1206
S20	1.061	0.3849	0.3913	0.0036942	23.5626	0.1981
S21	1.061	0.3993	0.3913	0.0033412	23.4709	0.1348
S22	1.061	0.3956	0.3913	0.0023860	23.5638	0.2189
S23	1.061	0.4057	0.3913	0.0019830	23.5963	0.0806
S24	1.061	0.4282	0.3913	0.0044891	23.4803	0.1459
S25	1.061	0.3645	0.3913	0.0015138	23.5622	0.1441
S26	1.061	0.3950	0.3913	0.0026876	23.5475	0.1623
S27	1.061	0.3953	0.3913	0.0016488	23.5631	0.0754
S28	1.061	0.4098	0.3913	0.0020192	23.5764	0.1037
S29	1.061	0.4041	0.3913	0.0019598	23.5875	0.1291
S30	1.061	0.4059	0.3913	0.0045401	23.5198	0.1099
S31	1.061	0.4105	0.3913	0.0016707	23.5630	0.1200
N1	1.061	0.3692	0.3913	0.0059345	23.4546	0.1519
N2	1.061	0.3777	0.3913	0.0045234	23.4676	0.1324
N3	1.061	0.3222	0.3913	0.0060464	23.4642	0.1685
N4	1.061	0.3986	0.3913	0.0022320	23.5092	0.0842
N5	1.061	0.3903	0.3913	0.0018414	23.4820	0.1793
N6	1.061	0.4146	0.3913	0.0026389	23.4660	0.1599
N7	1.061	0.4209	0.3913	0.0011377	23.4705	0.2323
N8	1.061	0.3951	0.3913	0.0015011	23.4890	0.1129
N9	1.061	0.3389	0.3913	0.0022895	23.5313	0.1618
N10	1.061	0.3602	0.3913	0.0051334	23.4862	0.0882
N11	1.061	0.3784	0.3913	0.0016548	23.4956	0.1297
N12	1.061	0.4527	0.3913	0.0042524	23.4736	0.1074
N13	1.061	0.4245	0.3913	0.0032965	23.3898	0.1251
N14	1.061	0.3817	0.3913	0.0065294	23.5428	0.0983
N15	1.061	0.3648	0.3913	0.0014075	23.5089	0.2263
N16	1.061	0.3473	0.3913	0.0018794	23.4628	0.1693
N17	1.061	0.3708	0.3913	0.0015057	23.4861	0.1481
N18	1.061	0.3866	0.3913	0.0012885	23.4712	0.1613
N19	1.061	0.4268	0.3913	0.0053101	23.4897	0.1284
N20	1.061	0.3480	0.3913	0.0024796	23.4097	0.1500
N21	1.061	0.4030	0.3913	0.0018524	23.3931	0.2376
N22	1.061	0.3779	0.3913	0.0024581	23.4702	0.1955
N23	1.061	0.3834	0.3913	0.0023623	23.4405	0.1198
N24	1.061	0.4139	0.3913	0.0049818	23.4916	0.1100
N25	1.061	0.3170	0.3913	0.0014287	23.4580	0.1540
N26	1.061	0.4076	0.3913	0.0016740	23.4534	0.3152
N27	1.061	0.3607	0.3913	0.0024117	23.4761	0.1220
N28	1.061	0.3776	0.3913	0.0016794	23.3872	0.1230
N29	1.061	0.3839	0.3913	0.0016659	23.5359	0.1409
N30	1.061	999999	999999	999999999	9999999	999999
N31	1.061	0.4917	0.3913	0.0066633	23.4430	0.1464

########################## FILTER g ###########################

#CCD	AIRMASS	k_COEFF	K_COEFF	BACK_SIGMA	ZP	ZP_ERR
S1	1.01	0.2	0.2	0.0041868	25.4573	0.3312
S2	1.01	0.2	0.2	0.0037156	25.4208	0.2672
S3	1.01	0.2	0.2	0.0022322	25.3737	0.4335
S4	1.01	0.2	0.2	0.0059207	25.3837	0.2736
S5	1.01	0.2	0.2	0.0104314	25.3556	0.2393
S6	1.01	0.2	0.2	0.0017854	25.4033	0.2864
S7	1.01	0.2	0.2	999999999	25.7826	0.2421
S8	1.01	0.2	0.2	0.0142418	25.4333	0.2449
S9	1.01	0.2	0.2	0.0038992	25.3995	0.1382
S10	1.01	0.2	0.2	0.0018545	25.3666	0.2048
S11	1.01	0.2	0.2	0.0014262	25.3675	0.3238
S12	1.01	0.2	0.2	0.0059037	25.3754	0.1249
S13	1.01	0.2	0.2	0.0018676	25.4192	0.3380
S14	1.01	0.2	0.2	0.0024444	25.4398	0.4026
S15	1.01	0.2	0.2	0.0041858	25.4274	0.4242
S16	1.01	0.2	0.2	0.0036755	25.3940	0.2625
S17	1.01	0.2	0.2	0.0021727	25.3735	0.1500
S18	1.01	0.2	0.2	0.0013560	25.3937	0.1254
S19	1.01	0.2	0.2	0.0031969	25.4322	0.3300
S20	1.01	0.2	0.2	0.0017085	25.4279	0.3175
S21	1.01	0.2	0.2	0.0021764	25.4169	0.2004
S22	1.01	0.2	0.2	0.0053344	25.4036	0.3494
S23	1.01	0.2	0.2	0.0016227	25.3975	0.0497
S24	1.01	0.2	0.2	0.0063577	25.4261	0.2301
S25	1.01	0.2	0.2	0.0024250	25.4328	0.1807
S26	1.01	0.2	0.2	0.0144529	25.4162	0.4856
S27	1.01	0.2	0.2	0.0021276	25.4169	0.0637
S28	1.01	0.2	0.2	0.0020575	25.4251	0.2631
S29	1.01	0.2	0.2	0.0032169	25.4477	0.2201
S30	1.01	0.2	0.2	0.0185675	25.4274	0.0952
S31	1.01	0.2	0.2	0.0027860	25.4505	0.3334
N1	1.01	0.2	0.2	0.0012102	25.4408	0.2215
N2	1.01	0.2	0.2	0.0031182	25.4143	0.2734
N3	1.01	0.2	0.2	0.0218214	25.3780	0.2369
N4	1.01	0.2	0.2	0.0051273	25.3900	0.0855
N5	1.01	0.2	0.2	0.0053725	25.3926	0.2247
N6	1.01	0.2	0.2	0.0100178	25.4042	0.3884
N7	1.01	0.2	0.2	0.0021512	25.4380	0.2547
N8	1.01	0.2	0.2	0.0033199	25.4272	0.2955
N9	1.01	0.2	0.2	0.0067409	25.4059	0.3259
N10	1.01	0.2	0.2	0.0026741	25.3829	0.3361
N11	1.01	0.2	0.2	0.0016762	25.3798	0.2901
N12	1.01	0.2	0.2	0.0014433	25.3952	0.1926
N13	1.01	0.2	0.2	0.0056347	25.4264	0.2648
N14	1.01	0.2	0.2	0.0022353	25.4394	0.2219
N15	1.01	0.2	0.2	0.0024600	25.4202	0.2346
N16	1.01	0.2	0.2	0.0084005	25.3945	0.2712
N17	1.01	0.2	0.2	0.0041448	25.3855	0.2114
N18	1.01	0.2	0.2	0.0047988	25.4124	0.2096
N19	1.01	0.2	0.2	0.0032994	25.4346	0.1449
N20	1.01	0.2	0.2	0.0033653	25.4427	0.2373
N21	1.01	0.2	0.2	0.0070662	25.4304	0.2155
N22	1.01	0.2	0.2	0.0029667	25.4100	0.1176
N23	1.01	0.2	0.2	0.0026083	25.4105	0.2805
N24	1.01	0.2	0.2	0.0011699	25.4499	0.1621
N25	1.01	0.2	0.2	0.0040055	25.4435	0.3119
